Province/State	Country/Region	Latitude	Longitude	Confirmed	Deaths	Recovered	Updated
Hubei	Mainland China	30.975640	112.270692	11177	350	295	2020-02-02 23:43:02
Guangdong	Mainland China	23.341734	113.424402	725		15	2020-02-03 08:43:02
Zhejiang	Mainland China	29.183189	120.093413	724		36	2020-02-03 01:33:02
Guangdong	Mainland China	23.341734	113.424402	683		15	2020-02-03 01:33:02
Henan	Mainland China	33.882006	113.613964	566	2	14	2020-02-03 01:03:22
Hunan	Mainland China	27.610407	111.708836	521		16	2020-02-03 01:33:02
Hunan	Mainland China	27.610407	111.708836	521		22	2020-02-03 11:03:10
Anhui	Mainland China	31.825712	117.226364	408		8	2020-02-03 04:23:32
Anhui	Mainland China	31.825712	117.226364	408		11	2020-02-03 10:43:08
Jiangxi	Mainland China	27.614008	115.722094	391		18	2020-02-03 01:33:02
Chongqing	Mainland China	30.057176	107.873986	312	2	8	2020-02-03 08:33:03
Chongqing	Mainland China	30.057176	107.873986	300	2	7	2020-02-02 23:33:02
Jiangsu	Mainland China	32.971098	119.455010	271		7	2020-02-03 01:03:22
Jiangsu	Mainland China	32.971098	119.455010	271		8	2020-02-03 11:03:10
Shandong	Mainland China	36.342671	118.149839	259		6	2020-02-03 07:33:02
Sichuan	Mainland China	30.617138	102.710322	254	1	14	2020-02-03 11:23:23
Sichuan	Mainland China	30.617138	102.710322	254	1	12	2020-02-03 01:03:22
Beijing	Mainland China	40.182381	116.414173	212	1	12	2020-02-03 09:23:05
Shanghai	Mainland China	31.201985	121.449112	203	1	10	2020-02-03 07:03:12
Beijing	Mainland China	40.182381	116.414173	191	1	9	2020-02-02 08:43:02
Fujian	Mainland China	26.078866	117.987372	179			2020-02-03 03:23:04
Fujian	Mainland China	26.078866	117.987372	179		1	2020-02-03 11:33:13
Shaanxi	Mainland China	35.191653	108.870144	128			2020-02-03 02:33:02
Guangxi	Mainland China	23.829840	108.788127	127		2	2020-02-03 00:13:15
Guangxi	Mainland China	23.829840	108.788127	127		7	2020-02-03 12:33:02
Heilongjiang	Mainland China	47.861996	127.761544	121	2	2	2020-02-03 07:13:19
Yunnan	Mainland China	24.974009	101.486994	114		4	2020-02-03 09:43:01
Hebei	Mainland China	39.548962	116.130600	113	1	3	2020-02-03 00:23:14
Yunnan	Mainland China	24.974009	101.486994	109		3	2020-02-03 07:03:12
Liaoning	Mainland China	41.295648	122.608542	73		1	2020-02-03 04:03:21
Hainan	Mainland China	19.195864	109.745336	71	1	4	2020-02-03 02:43:01
Shanxi	Mainland China	37.577685	112.292191	66		2	2020-02-03 03:23:04
Tianjin	Mainland China	39.305361	117.322973	56		1	2020-02-03 05:13:27
Gansu	Mainland China	37.809913	101.058275	51		3	2020-02-02 23:43:02
Guizhou	Mainland China	26.815361	106.874784	46		2	2020-02-03 01:03:22
Inner Mongolia	Mainland China	44.093501	113.944789	34		1	2020-02-03 03:03:09
Jilin	Mainland China	43.666102	126.192330	31		1	2020-02-03 00:53:03
Ningxia	Mainland China	37.269227	106.165455	31			2020-02-03 02:33:02
Ningxia	Mainland China	37.269227	106.165455	31		1	2020-02-03 08:33:03
Xinjiang	Mainland China	41.112851	85.240102	24			2020-02-03 01:13:21
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Japan	36.000000	138.000000	20		1	2020-02-01 18:53:03
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
	Thailand	15.000000	101.000000	19		5	2020-01-31 10:37:00
